Epoch 0: {'val_loss': '1.49202', 'val_r_square': '0.00391', 'train_loss': '1.10361'}
Epoch 1: {'val_loss': '1.50934', 'val_r_square': '0.00560', 'train_loss': '0.97494'}
Epoch 2: {'val_loss': '1.43552', 'val_r_square': '-0.01671', 'train_loss': '0.96046'}
Epoch 3: {'val_loss': '1.50217', 'val_r_square': '0.00103', 'train_loss': '0.95835'}
Epoch 4: {'val_loss': '1.51213', 'val_r_square': '0.00430', 'train_loss': '0.95502'}
Epoch 5: {'val_loss': '1.49907', 'val_r_square': '0.00539', 'train_loss': '0.94948'}
Epoch 6: {'val_loss': '1.50591', 'val_r_square': '0.00645', 'train_loss': '0.94368'}
Epoch 7: {'val_loss': '1.51074', 'val_r_square': '0.00585', 'train_loss': '0.94217'}
Epoch 8: {'val_loss': '1.48614', 'val_r_square': '0.00545', 'train_loss': '0.94043'}
Epoch 9: {'val_loss': '1.50577', 'val_r_square': '0.00654', 'train_loss': '0.93662'}
Epoch 10: {'val_loss': '1.50288', 'val_r_square': '0.00600', 'train_loss': '0.93595'}
Epoch 11: {'val_loss': '1.50096', 'val_r_square': '0.00603', 'train_loss': '0.93518'}
Epoch 12: {'val_loss': '1.50627', 'val_r_square': '0.00635', 'train_loss': '0.93475'}
Epoch 13: {'val_loss': '1.48888', 'val_r_square': '0.00552', 'train_loss': '0.93413'}
Epoch 14: {'val_loss': '1.50719', 'val_r_square': '0.00614', 'train_loss': '0.93339'}
Epoch 15: {'val_loss': '1.50967', 'val_r_square': '0.00463', 'train_loss': '0.93051'}
Epoch 16: {'val_loss': '1.50706', 'val_r_square': '0.00599', 'train_loss': '0.92991'}
Epoch 17: {'val_loss': '1.51354', 'val_r_square': '0.00547', 'train_loss': '0.92933'}
Epoch 18: {'val_loss': '1.51433', 'val_r_square': '0.00575', 'train_loss': '0.92905'}
Epoch 19: {'val_loss': '1.50751', 'val_r_square': '0.00522', 'train_loss': '0.92872'}
Epoch 20: {'val_loss': '1.51159', 'val_r_square': '0.00520', 'train_loss': '0.92829'}
Epoch 21: {'val_loss': '1.51119', 'val_r_square': '0.00517', 'train_loss': '0.92662'}
Epoch 22: {'val_loss': '1.51365', 'val_r_square': '0.00487', 'train_loss': '0.92615'}
Epoch 23: {'val_loss': '1.51186', 'val_r_square': '0.00575', 'train_loss': '0.92601'}
Epoch 24: {'val_loss': '1.50727', 'val_r_square': '0.00518', 'train_loss': '0.92580'}
Epoch 25: {'val_loss': '1.51719', 'val_r_square': '0.00617', 'train_loss': '0.92559'}
Epoch 26: {'val_loss': '1.51243', 'val_r_square': '0.00549', 'train_loss': '0.92546'}
Epoch 27: {'val_loss': '1.51680', 'val_r_square': '0.00574', 'train_loss': '0.92436'}
Epoch 0: {'val_loss': '1.48345', 'val_r_square': '-0.00540', 'train_loss': '1.11292'}
Epoch 1: {'val_loss': '1.47148', 'val_r_square': '-0.00572', 'train_loss': '0.97538'}
Epoch 2: {'val_loss': '1.29040', 'val_r_square': '-0.01269', 'train_loss': '0.96366'}
Epoch 3: {'val_loss': '1.41629', 'val_r_square': '-0.00265', 'train_loss': '0.95792'}
Epoch 4: {'val_loss': '1.31408', 'val_r_square': '-0.00810', 'train_loss': '0.95514'}
Epoch 5: {'val_loss': '1.50089', 'val_r_square': '0.00216', 'train_loss': '0.95003'}
Epoch 6: {'val_loss': '1.26736', 'val_r_square': '-0.00073', 'train_loss': '0.94334'}
Epoch 7: {'val_loss': '1.33168', 'val_r_square': '0.00165', 'train_loss': '0.94508'}
Epoch 8: {'val_loss': '1.42651', 'val_r_square': '-0.00962', 'train_loss': '0.94003'}
Epoch 9: {'val_loss': '1.44690', 'val_r_square': '0.00330', 'train_loss': '0.93890'}
Epoch 10: {'val_loss': '1.41933', 'val_r_square': '-0.00374', 'train_loss': '0.94133'}
Epoch 11: {'val_loss': '1.35385', 'val_r_square': '-0.00739', 'train_loss': '0.93855'}
Epoch 12: {'val_loss': '1.14436', 'val_r_square': '0.00112', 'train_loss': '0.93813'}
Epoch 13: {'val_loss': '1.48806', 'val_r_square': '0.00097', 'train_loss': '0.93880'}
Epoch 14: {'val_loss': '1.25542', 'val_r_square': '0.00484', 'train_loss': '0.93606'}
Epoch 15: {'val_loss': '1.22212', 'val_r_square': '0.00414', 'train_loss': '0.93575'}
Epoch 16: {'val_loss': '1.23662', 'val_r_square': '0.00703', 'train_loss': '0.93601'}
Epoch 17: {'val_loss': '1.46639', 'val_r_square': '0.00556', 'train_loss': '0.93450'}
Epoch 18: {'val_loss': '1.45905', 'val_r_square': '-0.00192', 'train_loss': '0.93698'}
Epoch 19: {'val_loss': '1.22212', 'val_r_square': '0.00278', 'train_loss': '0.93230'}
Epoch 20: {'val_loss': '1.30404', 'val_r_square': '0.00589', 'train_loss': '0.93382'}
Epoch 21: {'val_loss': '1.32312', 'val_r_square': '0.00325', 'train_loss': '0.93183'}
Epoch 22: {'val_loss': '1.41450', 'val_r_square': '0.00355', 'train_loss': '0.93237'}
Epoch 23: {'val_loss': '1.33712', 'val_r_square': '0.00564', 'train_loss': '0.93063'}
Epoch 24: {'val_loss': '1.39078', 'val_r_square': '0.00534', 'train_loss': '0.93345'}
Epoch 25: {'val_loss': '1.34935', 'val_r_square': '0.00599', 'train_loss': '0.92887'}
Epoch 26: {'val_loss': '1.31655', 'val_r_square': '0.00646', 'train_loss': '0.92864'}
Epoch 27: {'val_loss': '1.42927', 'val_r_square': '0.00524', 'train_loss': '0.92875'}
